UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,-0.002710,36.334560,2435,0,0,0,No Data,No Data
1178690589,2007-05-09T06:03:09Z,-0.002707,36.341645,2412,0.7887886,0,0,No Data,No Data
1178690921,2007-05-09T06:08:41Z,-0.002702,36.354043,2395,2.169084,0,0,No Data,No Data
1178691015,2007-05-09T06:10:15Z,-0.002700,36.357585,2377,2.56348,0,0,No Data,No Data
1178691397,2007-05-09T06:16:37Z,0.004434,36.369967,2360,4.15443,0,0,No Data,No Data
1178691673,2007-05-09T06:21:13Z,0.009810,36.378804,2352,5.306057,0,0,No Data,No Data
1178692123,2007-05-09T06:28:43Z,0.015200,36.394728,2329,7.177786,0,0,No Data,No Data
1178692335,2007-05-09T06:32:15Z,0.018794,36.401803,2327,8.061345,0,0,No Data,No Data
1178692573,2007-05-09T06:36:13Z,0.025972,36.407096,2351,9.054345,0,0,No Data,No Data
1178693050,2007-05-09T06:44:10Z,0.040336,36.417690,2344,11.04142,0,0,No Data,No Data
1178693319,2007-05-09T06:48:39Z,0.047525,36.424763,2338,12.16426,0,0,No Data,No Data
1178693558,2007-05-09T06:52:38Z,0.054715,36.430065,2305,13.15886,0,0,No Data,No Data
1178693837,2007-05-09T06:57:17Z,0.063703,36.435365,2281,14.32062,0,0,No Data,No Data
1178694051,2007-05-09T07:00:51Z,0.070896,36.438898,2224,15.21285,0,0,No Data,No Data
1178694356,2007-05-09T07:05:56Z,0.079859,36.445984,2203,16.48496,0,0,No Data,No Data
1178694558,2007-05-09T07:09:18Z,0.085217,36.451306,2207,17.32576,0,0,No Data,No Data
1178694895,2007-05-09T07:14:55Z,0.094200,36.460169,2185,18.73075,0,0,No Data,No Data
1178695134,2007-05-09T07:18:54Z,0.099617,36.467263,2115,19.72451,0,0,No Data,No Data
1178695472,2007-05-09T07:24:32Z,0.108627,36.476132,2098,21.1321,0,0,No Data,No Data
1178695668,2007-05-09T07:27:48Z,0.110460,36.483234,2111,21.94869,0,0,No Data,No Data
1178695905,2007-05-09T07:31:45Z,0.110513,36.492114,2109,22.93742,0,0,No Data,No Data
1178696160,2007-05-09T07:36:00Z,0.106984,36.500998,2096,24.00167,0,0,No Data,No Data
1178696256,2007-05-09T07:37:36Z,0.103404,36.500999,2106,24.4002,0,0,No Data,No Data
1178696494,2007-05-09T07:41:34Z,0.096275,36.506331,2090,25.39135,0,0,No Data,No Data
1178696685,2007-05-09T07:44:45Z,0.089115,36.506334,2093,26.18837,0,0,No Data,No Data
1178696925,2007-05-09T07:48:45Z,0.080138,36.506337,2139,27.18777,0,0,No Data,No Data
